Em0tion,Word,Num
good,确实,1
good,美味,1
good,下饭,1
good,一定,1
good,清新,1
good,筋道,1
good,好吃,1
good,回味无穷,2
happy,起来,1
good,独特,1
good,好吃,3
good,点缀,1
happy,起来,1
disgust,黄色,1
good,均匀,2
good,功效,2
good,点缀,1
happy,起来,1
good,爽口,1
good,一定,1
good,均匀,1
good,干净,1
good,不错,1
good,好吃,1
good,一定,1
good,好吃,1
good,鲜嫩,1
good,浓郁,1
good,入味,1
good,一定,1
good,必要,1
anger,揉搓,1
happy,起来,1
good,好听,1
good,一定,1
good,讲究,1
good,均匀,3
good,好吃,1
fear,厉害,1
happy,成功,1
happy,起来,3
good,入味,1
good,一定,1
good,均匀,1
happy,满足,1
good,干净,1
good,健康,1
good,好吃,2
happy,起来,2
good,稀饭,1
happy,放心,1
good,均匀,1
good,好吃,1
good,肯定,1
good,入味,1
disgust,浪费,1
good,讲究,1
good,好吃,2
good,实在,1
happy,起来,1
disgust,黄色,1
disgust,随便,1
good,丁香,2
good,均匀,1
good,其实,1
happy,起来,1
good,肯定,1
good,清澈,1
good,无比,1
good,鲜美,3
happy,起来,2
good,讲究,3
good,其实,1
good,好吃,1
happy,起来,1
disgust,失败,1
good,一定,2
good,均匀,1
happy,开胃,1
good,美好,1
good,清爽,1
good,清爽,1,happy,清爽,1
good,完美,1
disgust,下水,1
good,入味,1
good,一定,1
good,均匀,1
good,干净,3
happy,开胃,1
good,好吃,3
disgust,杂质,1
disgust,麻烦,1
good,具体,1
good,新鲜,1
good,干净,1
good,好吃,2
good,完美,1
happy,起来,1
good,师傅,1
good,适口,1
good,确实,1
good,拿手,1
happy,适中,1
good,独特,1
good,入味,2
good,好吃,2
good,葱白,1
happy,起来,1
good,一定,1
disgust,乱来,1
good,朋友,1
happy,起来,1
good,负责,1
good,喜欢,1
good,入味,1
good,一定,3
good,均匀,2
good,好吃,2
good,肯定,1
disgust,疑问,1
happy,起来,1
good,认真,1
good,必须,1
good,真正,1
good,讲究,1
good,均匀,3
happy,起来,1
good,独特,1
good,细腻,1
good,清香,1
good,一定,2
disgust,寡言,1
good,均匀,3
disgust,过头,1
fear,重点,1
good,好吃,3
good,鲜嫩,2
good,肯定,1
good,完美,1
happy,起来,2
good,师傅,2
good,均匀,1
good,干净,1
good,好吃,1
good,均匀,1
good,欢迎,1
good,干净,2
happy,起来,1
good,师傅,1
good,少不了,1
good,干净,2
good,健康,1
good,好吃,4
good,实在,1
happy,自然,1
disgust,没用,1
good,喜欢,3
good,入味,1
disgust,不好,1
good,确实,1
good,好吃,1
good,鲜嫩,1
happy,起来,4
good,吃香,1
good,一定,1
good,好吃,2
good,老前辈,1
happy,起来,3
good,前辈,1
good,均匀,3
happy,端午,1
good,干净,1
good,完美,1
happy,起来,3
good,认真,1
good,喜欢,1
anger,上火,1
good,金榜题名,1
good,一定,1
disgust,不好,1
good,讲究,1
disgust,松散,1
good,均匀,3
good,好吃,3
good,入味,1
good,讲究,1
good,均匀,1
good,朋友,1
good,鲜嫩,1
disgust,不够,1
good,鲜美,1
happy,起来,2
good,清爽,1
good,清爽,1,happy,清爽,1
good,师傅,1
good,一定,2
good,葱白,1
sad,怀念,1
good,喜欢,1
good,珍藏,1
good,入味,1
disgust,不快,1
good,均匀,3
good,下饭,1
good,干净,1
good,实在,2
disgust,牛角尖,1
good,喜欢,1
disgust,怀疑,1
good,一定,1
good,均匀,2
happy,端午,2
happy,起来,1
happy,红火,1
good,必须,2
good,一定,1
happy,安康,2
good,干净,2
good,好吃,1
good,浓郁,1
good,适口,1
good,滑润,1
good,好吃,1
good,详细,1
good,窍门,2
disgust,无味,1
good,完美,1
good,一定,1
disgust,不好,2
good,美味,1
good,窍门,2
disgust,散乱,1
good,均匀,3
good,干净,2
good,最好,1
fear,紧张,1
fear,紧张,1,disgust,紧张,1
good,老一辈,1
good,佩服,1
happy,起来,3
good,认真,1
good,必须,1
good,漂亮,2
good,入味,2
good,师傅,1
good,一定,1
good,新鲜,1
good,干净,1
good,好吃,2
good,肯定,1
good,实在,1
happy,起来,1
good,认真,1
good,入味,2
good,耐心,1
good,一定,1
good,窍门,2
good,无敌,1
good,均匀,1
happy,满足,1
good,干净,1
good,其实,1
good,好吃,3
good,醇香,1
good,实在,1
good,浓郁,1
happy,起来,1
good,丁香,1
good,爽口,1
surprise,奇怪,1
good,好吃,1
good,实在,1
good,不愧,1
good,重要,1
happy,起来,1
good,入味,1
good,真正,1
disgust,异味,1
good,一定,2
good,美味,1
good,新鲜,1
good,均匀,2
good,下饭,1
good,好吃,2
disgust,复杂,1
happy,起来,1
good,推荐,1
good,均匀,1
good,好吃,4
good,完美,1
disgust,复杂,1
good,好听,1
good,师傅,1
disgust,麻烦,1
good,窍门,1
good,均匀,1
good,好吃,1
fear,冰凉,1
happy,起来,1
good,认真,1
good,一定,2
good,希望,1
good,均匀,3
happy,好玩,1
good,干净,2
sad,无语,1
good,好吃,2
